Continent,Country/area,GDP per capita (PPP),,Currency,Currency/USD,,Obesity rate (2016),Smoking rate (2021),,,,,,,,,,,,
Americas,Suriname,"5,859",,SRD,0.031452475,,26.50%,19.68%,,,,,,,,,,,,
Europe,Sweden,"4,216",,SEK,0.096113275,,22.10%,14.02%,,,,,,,,,,,,
Europe,Switzerland,"17,620",,CHF,1.165306948,,21.20%,25.70%,,,,,,,,,,,,
Asia,Syria,"64,578",,SYP,0.000398005,,25.80%,21.32%,,,,,,,,,,,,
Asia,Taiwan,"83,598",,TWD,0.03095544,,,,,,,,,,,,,,,
Asia,Tajikistan,"4,885",,TJS,0.093862764,,12.60%,8.13%,,,,,,,,,,,,
Africa,Tanzania,"3,097",,TZS,0.000366842,,7.10%,8.96%,,,,,,,,,,,,
Asia,Thailand,"20,672",,THB,0.029821848,,10.80%,21.18%,,,,,,,,,,,,
Asia,Timor-Leste,"4,828",,USD (peg),1,,2.90%,34.61%,,,,,,,,,,,,
Africa,Togo,"2,608",,CFA,0.001665,,7.10%,7.07%,,,,,,,,,,,,
Oceania,Tonga,"4,426",,TOP,0.4246986,,45.90%,27.02%,,,,,,,,,,,,
Americas,Trinidad and Tobago,"27,778",,TTD,0.147234422,,19.70%,17.84%,,,,,,,,,,,,
Africa,Tunisia,"12,490",,TND,0.325005078,,27.30%,23.18%,,,,,,,,,,,,
Asia,Turkey,"37,274",,TRY,0.029240347,,32.20%,31.18%,,,,,,,,,,,,
Asia,Turkmenistan,"8,792",,TMT,0.284900285,,17.50%,12.15%,,,,,,,,,,,,
Oceania,Tuvalu,"5,421",,TVD,0.6733907,,51.00%,33.49%,,,,,,,,,,,,
Africa,Uganda,"2,694",,UGX,0.000272013,,4.10%,8.61%,,,,,,,,,,,,
Europe,Ukraine,"12,671",,UAH,0.024247351,,26.10%,26.59%,,,,,,,,,,,,
Asia,United Arab Emirates,"87,729",,AED,0.272294,,29.90%,13.77%,,,,,,,,,,,,
Europe,United Kingdom,"54,603",,GBP,1.304941291,,29.50%,18.54%,,,,,,,,,,,,
Americas,United States,"76,399",,USD,1,,37.30%,16.27%,,,,,,,,,,,,
Americas,Uruguay,"28,842",,UYU,0.023911604,,28.90%,24.52%,,,,,,,,,,,,
Asia,Uzbekistan,"9,533",,UZS,7.82327E-05,,15.30%,12.98%,,,,,,,,,,,,
Oceania,Vanuatu,"3,289",,VUV,0.008423039,,23.50%,21.07%,,,,,,,,,,,,
Americas,Venezuela,"15,976",,VES,0.026678251,,25.20%,14.91%,,,,,,,,,,,,
Asia,Vietnam,"13,457",,VND,4.025E-05,,2.10%,24.41%,,,,,,,,,,,,
Asia,Yemen,650,,YER,0.00399401,,14.10%,19.63%,,,,,,,,,,,,
Africa,Zambia,"3,894",,ZMW,0.037651758,,6.50%,14.61%,,,,,,,,,,,,
Africa,Zimbabwe,"2,531",,ZWL,0.00310559,,12.30%,17.14%,,,,,,,,,,,,
